Site	 Theta	Phi
A1	0	0
A2	11.5	-90
A3	23	-90
A4	34.5	-90
A5	-46	72
A6	-46	54
A7	-57.5	54
A8	-69	60
A9	-80.5	60
A10	-92	60
A11	-103.5	60
A12	-115	60
A13	-115	75
A14	-103.5	75
A15	-92	75
A16	-80.5	75
A17	-69	75
A18	-57.5	72
A19	46	-90
A20	57.5	-90
A21	69	-90
A22	80.5	-90
A23	92	-90
A24	103.5	-90
A25	115	-90
A26	115	-75
A27	103.5	-75
A28	92	-75
A29	80.5	-75
A30	69	-75
A31	57.5	-72
A32	46	-72
B1	11.5	-18
B2	23	-60
B3	46	-54
B4	57.5	-54
B5	69	-60
B6	80.5	-60
B7	92	-60
B8	103.5	-60
B9	115	-60
B10	115	-45
B11	103.5	-45
B12	92	-45
B13	80.5	-45
B14	69	-45
B15	69	-30
B16	80.5	-30
B17	92	-30
B18	103.5	-30
B19	92	-15
B20	80.5	-15
B21	69	-15
B22	57.5	-36
B23	46	-36
B24	34.5	-45
B25	23	-30
B26	34.5	-22.5
B27	46	-18
B28	57.5	-18
B29	57.5	0
B30	69	0
B31	80.5	0
B32	92	0
C1	11.5	54
C2	23	30
C3	23	0
C4	34.5	0
C5	34.5	22.5
C6	46	18
C7	46	0
C8	57.5	18
C9	69	15
C10	80.5	15
C11	92	15
C12	92	30
C13	80.5	30
C14	69	30
C15	69	45
C16	80.5	45
C17	92	45
C18	92	60
C19	80.5	60
C20	69	60
C21	57.5	54
C22	57.5	36
C23	46	36
C24	34.5	45
C25	23	60
C26	34.5	67.5
C27	46	54
C28	46	72
C29	57.5	72
C30	69	75
C31	80.5	75
C32	92	75
D1	-11.5	-54
D2	23	90
D3	34.5	90
D4	46	90
D5	57.5	90
D6	69	90
D7	80.5	90
D8	92	90
D9	-92	-75
D10	-80.5	-75
D11	-69	-75
D12	-57.5	-72
D13	-46	-72
D14	-34.5	-67.5
D15	-23	-60
D16	-23	-30
D17	-34.5	-45
D18	-46	-54
D19	-57.5	-54
D20	-69	-60
D21	-80.5	-60
D22	-92	-60
D23	-92	-45
D24	-80.5	-45
D25	-69	-45
D26	-57.5	-36
D27	-46	-36
D28	-34.5	-22.5
D29	-46	-18
D30	-69	-30
D31	-80.5	-30
D32	-92	-30
E1	-11.5	18
E2	-23	0
E3	-34.5	0
E4	-46	0
E5	-57.5	-18
E6	-69	-15
E7	-80.5	-15
E8	-92	-15
E9	-92	0
E10	-80.5	0
E11	-69	0
E12	-57.5	0
E13	-57.5	18
E14	-69	15
E15	-80.5	15
E16	-92	15
E17	-103.5	30
E18	-92	30
E19	-80.5	30
E20	-69	30
E21	-46	18
E22	-34.5	22.5
E23	-23	30
E24	-23	60
E25	-34.5	45
E26	-46	36
E27	-57.5	36
E28	-69	45
E29	-80.5	45
E30	-92	45
E31	-103.5	45
E32	-115	45
Nz	 115	 90
LPA	-115	  0
RPA	 115	  0
