Site	 Theta	Phi
Fp1	 -92	-72
Fp2	  92	 72
F3	 -60	-51
F4	  60	 51
C3	 -46	  0
C4	  46	  0
P3	 -60	 51
P4	  60	-51
O1	 -92	 72
O2	  92	-72
F7	 -92	-36
F8	  92	 36
T7	 -92	  0
T8	  92	  0
P7	 -92	 36
P8	  92	-36
Fz	  46	 90
Cz	   0	  0
Pz	  46	-90
F1	 -50	-68
F2	  50	 68
FC1	 -32	-45
FC2	  32	 45
C1	 -23	  0
C2	  23	  0
CP1	 -32	 45
CP2	  32	-45
P1	 -50	 68
P2	  50	-68
AF3	 -74	-65
AF4	  74	 65
FC3	 -53	-33
FC4	  53	 33
CP3	 -52	 33
CP4	  52	-33
PO3	 -74	 65
PO4	  74	-65
F5	 -75	-41
F6	  75	 41
FC5	 -72	-21
FC6	  72	 21
C5	 -69	  0
C6	  69	  0
CP5	 -72	 21
CP6	  72	-21
P5	 -75	 41
P6	  75	-41
AF7	 -92	-54
AF8	  92	 54
FT7	 -92	-18
FT8	  92	 18
TP7	 -92	 18
TP8	  92	-18
PO7	 -92	 54
PO8	  92	-54
F9	-115	-36
F10	 115	 36
FT9	-115	-18
FT10	 115	 18
TP9	-115	 18
TP10	 115	-18
P9	-115	 36
P10	 115	-36
PO9	-115	 54
PO10	 115	-54
O9	-115	 72
O10	 115	-72
Fpz	  92	 90
AFz	  69	 90
FCz	  23	 90
CPz	  23	-90
POz	  69	-90
Oz	  92	-90
Iz	 115	-90
