name,coil_type,x,y,z,ex_x,ex_y,ex_z,ey_x,ey_y,ey_z,ez_x,ez_y,ez_z
MEG 0113,3012,-0.106600,0.046400,-0.060400,-0.012700,0.005700,-0.999903,-0.186801,-0.982403,-0.003300,-0.982327,0.186741,0.013541
MEG 0112,3012,-0.106600,0.046400,-0.060400,-0.186801,-0.982403,-0.003300,0.012700,-0.005700,0.999903,-0.982327,0.186741,0.013541
MEG 0111,3024,-0.106600,0.046400,-0.060400,-0.012700,0.005700,-0.999903,-0.186801,-0.982403,-0.003300,-0.982327,0.186741,0.013541
MEG 0122,3012,-0.102000,0.063100,-0.025600,0.013600,0.001100,-0.999902,-0.282001,-0.959402,-0.004900,-0.959313,0.282039,-0.012738
MEG 0123,3012,-0.102000,0.063100,-0.025600,-0.282001,-0.959402,-0.004900,-0.013600,-0.001100,0.999902,-0.959313,0.282039,-0.012738
MEG 0121,3024,-0.102000,0.063100,-0.025600,0.013600,0.001100,-0.999902,-0.282001,-0.959402,-0.004900,-0.959313,0.282039,-0.012738
MEG 0132,3012,-0.108500,0.030200,-0.026600,0.002600,0.002300,-0.999955,-0.095196,-0.995456,-0.002500,-0.995417,0.095198,-0.002369
MEG 0133,3012,-0.108500,0.030200,-0.026600,-0.095196,-0.995456,-0.002500,-0.002600,-0.002300,0.999955,-0.995417,0.095198,-0.002369
MEG 0131,3024,-0.108500,0.030200,-0.026600,0.002600,0.002300,-0.999955,-0.095196,-0.995456,-0.002500,-0.995417,0.095198,-0.002369
MEG 0143,3012,-0.109900,0.013100,-0.062700,-0.012300,0.001800,-0.999923,-0.021200,-0.999823,-0.001600,-0.999748,0.021179,0.012336
MEG 0142,3012,-0.109900,0.013100,-0.062700,-0.021200,-0.999823,-0.001600,0.012300,-0.001800,0.999923,-0.999748,0.021179,0.012336
MEG 0141,3024,-0.109900,0.013100,-0.062700,-0.012300,0.001800,-0.999923,-0.021200,-0.999823,-0.001600,-0.999748,0.021179,0.012336
MEG 0213,3012,-0.107400,0.032900,0.008000,-0.051198,0.007700,-0.998659,-0.101496,-0.994759,-0.002500,-0.993444,0.101232,0.051711
MEG 0212,3012,-0.107400,0.032900,0.008000,-0.101496,-0.994759,-0.002500,0.051198,-0.007700,0.998659,-0.993444,0.101232,0.051711
MEG 0211,3024,-0.107400,0.032900,0.008000,-0.051198,0.007700,-0.998659,-0.101496,-0.994759,-0.002500,-0.993444,0.101232,0.051711
MEG 0222,3012,-0.098900,0.040300,0.041300,-0.343206,0.059801,-0.937415,-0.161803,-0.986816,-0.003700,-0.925278,0.150406,0.348357
MEG 0223,3012,-0.098900,0.040300,0.041300,-0.161803,-0.986816,-0.003700,0.343206,-0.059801,0.937415,-0.925278,0.150406,0.348357
MEG 0221,3024,-0.098900,0.040300,0.041300,-0.343206,0.059801,-0.937415,-0.161803,-0.986816,-0.003700,-0.925278,0.150406,0.348357
MEG 0232,3012,-0.101100,0.004400,0.040800,-0.352103,0.008700,-0.935908,0.037800,-0.999009,-0.023500,-0.935185,-0.043652,0.351425
MEG 0233,3012,-0.101100,0.004400,0.040800,0.037800,-0.999009,-0.023500,0.352103,-0.008700,0.935908,-0.935185,-0.043652,0.351425
MEG 0231,3024,-0.101100,0.004400,0.040800,-0.352103,0.008700,-0.935908,0.037800,-0.999009,-0.023500,-0.935185,-0.043652,0.351425
MEG 0243,3012,-0.108300,-0.001100,0.007100,-0.067199,-0.010400,-0.997685,0.084999,-0.996386,0.004700,-0.994128,-0.084486,0.067840
MEG 0242,3012,-0.108300,-0.001100,0.007100,0.084999,-0.996386,0.004700,0.067199,0.010400,0.997685,-0.994128,-0.084486,0.067840
MEG 0241,3024,-0.108300,-0.001100,0.007100,-0.067199,-0.010400,-0.997685,0.084999,-0.996386,0.004700,-0.994128,-0.084486,0.067840
MEG 0313,3012,-0.086100,0.098800,0.009000,-0.035199,0.118196,-0.992366,-0.483584,-0.870970,-0.086597,-0.874557,0.476844,0.087815
MEG 0312,3012,-0.086100,0.098800,0.009000,-0.483584,-0.870970,-0.086597,0.035199,-0.118196,0.992366,-0.874557,0.476844,0.087815
MEG 0311,3024,-0.086100,0.098800,0.009000,-0.035199,0.118196,-0.992366,-0.483584,-0.870970,-0.086597,-0.874557,0.476844,0.087815
MEG 0322,3012,-0.088700,0.075700,0.041200,-0.351594,0.118898,-0.928584,-0.370994,-0.928384,0.021600,-0.859515,0.352093,0.370525
MEG 0323,3012,-0.088700,0.075700,0.041200,-0.370994,-0.928384,0.021600,0.351594,-0.118898,0.928584,-0.859515,0.352093,0.370525
MEG 0321,3024,-0.088700,0.075700,0.041200,-0.351594,0.118898,-0.928584,-0.370994,-0.928384,0.021600,-0.859515,0.352093,0.370525
MEG 0333,3012,-0.070200,0.075800,0.070700,-0.594240,0.228816,-0.771052,-0.385726,-0.922363,0.023502,-0.705812,0.311381,0.636365
MEG 0332,3012,-0.070200,0.075800,0.070700,-0.385726,-0.922363,0.023502,0.594240,-0.228816,0.771052,-0.705812,0.311381,0.636365
MEG 0331,3024,-0.070200,0.075800,0.070700,-0.594240,0.228816,-0.771052,-0.385726,-0.922363,0.023502,-0.705812,0.311381,0.636365
MEG 0343,3012,-0.100300,0.065900,0.008100,-0.065802,0.024701,-0.997527,-0.288308,-0.957526,-0.004700,-0.955274,0.287286,0.070128
MEG 0342,3012,-0.100300,0.065900,0.008100,-0.288308,-0.957526,-0.004700,0.065802,-0.024701,0.997527,-0.955274,0.287286,0.070128
MEG 0341,3024,-0.100300,0.065900,0.008100,-0.065802,0.024701,-0.997527,-0.288308,-0.957526,-0.004700,-0.955274,0.287286,0.070128
MEG 0413,3012,-0.080800,0.041300,0.072000,-0.642126,0.049002,-0.765031,-0.135706,-0.989540,0.050502,-0.754555,0.136248,0.642060
MEG 0412,3012,-0.080800,0.041300,0.072000,-0.135706,-0.989540,0.050502,0.642126,-0.049002,0.765031,-0.754555,0.136248,0.642060
MEG 0411,3024,-0.080800,0.041300,0.072000,-0.642126,0.049002,-0.765031,-0.135706,-0.989540,0.050502,-0.754555,0.136248,0.642060
