Site	 Theta	Phi
A1	0	0
A2	9.2	-90
A3	18.4	-90
A4	27.6	-90
A5	36.8	-90
A6	46	-90
A7	-46	75
A8	-55.2	75
A9	-64.4	78
A10	-73.6	78
A11	-82.8	78.75
A12	-92	78.75
A13	-101.2	78.75
A14	-110.4	78
A15	-119.6	78
A16	119.6	-90
A17	110.4	-90
A18	101.2	-90
A19	92	-90
A20	82.8	-90
A21	73.6	-90
A22	64.4	-90
A23	55.2	-90
A24	46	-75
A25	55.2	-75
A26	64.4	-78
A27	73.6	-78
A28	82.8	-78.75
A29	92	-78.75
A30	101.2	-78.75
A31	110.4	-78
A32	119.6	-78
B1	18.4	-54
B2	27.6	-66
B3	36.8	-54
B4	46	-60
B5	55.2	-60
B6	64.4	-66
B7	73.6	-66
B8	82.8	-67.5
B9	92	-67.5
B10	101.2	-67.5
B11	110.4	-66
B12	119.6	-66
B13	110.4	-54
B14	101.2	-56.25
B15	92	-56.25
B16	82.8	-56.25
B17	73.6	-54
B18	64.4	-54
B19	55.2	-45
B20	46	-45
B21	27.6	-42
B22	36.8	-36
B23	46	-30
B24	55.2	-30
B25	64.4	-42
B26	73.6	-42
B27	82.8	-45
B28	92	-45
B29	101.2	-45
B30	110.4	-42
B31	110.4	-30
B32	101.2	-33.75
C1	9.2	-18
C2	18.4	-18
C3	27.6	-18
C4	36.8	-18
C5	46	-15
C6	55.2	-15
C7	64.4	-18
C8	64.4	-30
C9	73.6	-30
C10	82.8	-33.75
C11	92	-33.75
C12	101.2	-22.5
C13	92	-22.5
C14	82.8	-22.5
C15	73.6	-18
C16	82.8	-11.25
C17	92	-11.25
C18	92	0
C19	82.8	0
C20	73.6	-6
C21	64.4	-6
C22	55.2	0
C23	46	0
C24	36.8	0
C25	27.6	6
C26	36.8	18
C27	46	15
C28	55.2	15
C29	64.4	6
C30	73.6	6
C31	82.8	11.25
C32	92	11.25
D1	9.2	54
D2	18.4	18
D3	27.6	30
D4	36.8	36
D5	46	30
D6	64.4	18
D7	73.6	18
D8	82.8	22.5
D9	92	22.5
D10	101.2	22.5
D11	101.2	33.75
D12	92	33.75
D13	82.8	33.75
D14	73.6	30
D15	64.4	30
D16	55.2	30
D17	46	45
D18	55.2	45
D19	64.4	42
D20	73.6	42
D21	82.8	45
D22	92	45
D23	101.2	45
D24	92	56.25
D25	82.8	56.25
D26	73.6	54
D27	64.4	54
D28	55.2	60
D29	64.4	66
D30	73.6	66
D31	82.8	67.5
D32	92	67.5
E1	18.4	90
E2	18.4	54
E3	27.6	54
E4	36.8	54
E5	46	60
E6	46	75
E7	55.2	75
E8	64.4	78
E9	73.6	78
E10	82.8	78.75
E11	92	78.75
E12	92	90
E13	82.8	90
E14	73.6	90
E15	64.4	90
E16	55.2	90
E17	46	90
E18	36.8	90
E19	36.8	72
E20	27.6	78
E21	-27.6	-78
E22	-36.8	-72
E23	-46	-75
E24	-55.2	-75
E25	-64.4	-78
E26	-73.6	-78
E27	-82.8	-78.75
E28	-92	-78.75
E29	-92	-67.5
E30	-82.8	-67.5
E31	-73.6	-66
E32	-64.4	-66
F1	-9.2	-54
F2	-18.4	-54
F3	-27.6	-54
F4	-36.8	-54
F5	-46	-60
F6	-55.2	-60
F7	-64.4	-54
F8	-73.6	-54
F9	-82.8	-56.25
F10	-92	-56.25
F11	-101.2	-45
F12	-92	-45
F13	-82.8	-45
F14	-73.6	-42
F15	-64.4	-42
F16	-55.2	-45
F17	-46	-45
F18	-36.8	-36
F19	-27.6	-30
F20	-18.4	-18
F21	-27.6	-6
F22	-36.8	-18
F23	-46	-30
F24	-55.2	-30
F25	-64.4	-30
F26	-73.6	-30
F27	-82.8	-33.75
F28	-92	-33.75
F29	-101.2	-33.75
F30	-101.2	-22.5
F31	-92	-22.5
F32	-82.8	-22.5
G1	-9.2	18
G2	-18.4	18
G3	-27.6	18
G4	-36.8	0
G5	-46	-15
G6	-55.2	-15
G7	-64.4	-18
G8	-73.6	-18
G9	-82.8	-11.25
G10	-92	-11.25
G11	-92	0
G12	-82.8	0
G13	-73.6	-6
G14	-64.4	-6
G15	-55.2	0
G16	-46	0
G17	-55.2	15
G18	-64.4	6
G19	-73.6	6
G20	-82.8	11.25
G21	-92	11.25
G22	-101.2	22.5
G23	-92	22.5
G24	-82.8	22.5
G25	-73.6	18
G26	-64.4	18
G27	-64.4	30
G28	-73.6	30
G29	-82.8	33.75
G30	-92	33.75
G31	-101.2	33.75
G32	-110.4	30
H1	-18.4	54
H2	-27.6	42
H3	-36.8	36
H4	-36.8	18
H5	-46	15
H6	-46	30
H7	-55.2	30
H8	-64.4	42
H9	-73.6	42
H10	-82.8	45
H11	-92	45
H12	-101.2	45
H13	-110.4	42
H14	-110.4	54
H15	-101.2	56.25
H16	-92	56.25
H17	-82.8	56.25
H18	-73.6	54
H19	-64.4	54
H20	-55.2	45
H21	-46	45
H22	-36.8	54
H23	-27.6	66
H24	-46	60
H25	-55.2	60
H26	-64.4	66
H27	-73.6	66
H28	-82.8	67.5
H29	-92	67.5
H30	-101.2	67.5
H31	-110.4	66
H32	-119.6	66
Nz	 115	 90
LPA	-115	  0
RPA	 115	  0
