Name   Theta  Phi
Fp1      -90  -72
Fz        45   90
F3       -60  -51
F7       -90  -36
F9      -113  -36
FC5      -69  -21
FC1      -31  -46
C3       -45    0
T7       -90    0
CP5      -69   21
CP1      -31   46
Pz        45  -90
P3       -60   51
P7       -90   36
P9      -113   36
O1       -90   72
Oz        90  -90
O2        90  -72
P10      113  -36
P8        90  -36
P4        60  -51
CP2       31  -46
CP6       69  -21
T8        90    0
C4        45    0
Cz         0    0
FC2       31   46
FC6       69   21
F10      113   36
F8        90   36
F4        60   51
Fp2       90   72
AF7      -90  -54
AF3      -74  -68
AFz       67   90
F1       -49  -68
F5       -74  -41
FT7      -90  -18
FC3      -49  -29
C1       -23    0
C5       -68    0
TP7      -90   18
CP3      -49   29
P1       -49   68
P5       -74   41
PO7      -90   54
PO3      -74   68
Iz       112  -90
POz       67  -90
PO4       74  -68
PO8       90  -54
P6        74  -41
P2        49  -68
CPz       22  -90
CP4       49  -29
TP8       90  -18
C6        68    0
C2        23    0
FC4       49   29
FT8       90   18
F6        74   41
F2        49   68
AF4       74   68
AF8       90   54
AFF3h    -62  -67
FFC1h    -35  -73
FFC5h    -62  -35
FT9     -113  -18
FTT7h    -79  -10
FCC3h    -35  -19
CCP1h    -16   45
CCP5h    -57   12
TP9     -113   18
TPP7h    -81   29
CPP3h    -46   48
PPO3h    -62   67
PPO9h   -101   45
POO1     -79   82
PO9     -113   54
I1      -112   72
I2       112  -72
PO10     113  -54
POO2      79  -82
PPO10h   101  -45
PPO4h     62  -67
CPP4h     46  -48
TPP8h     81  -29
TP10     113  -18
CCP6h     57  -12
CCP2h     16  -45
FCC4h     35   19
FTT8h     79   10
FT10     113   18
FFC6h     62   35
FFC2h     35   73
AFF4h     62   67
AFp1     -79  -82
AFF1h    -57  -82
AFF5h    -72  -55
FFT7h    -81  -29
FFC3h    -46  -48
FCC1h    -16  -45
FCC5h    -57  -12
TTP7h    -79   10
CCP3h    -35   19
CPP1h    -35   73
CPP5h    -62   35
TPP9h   -101   27
PPO5h    -72   55
PPO1h    -57   82
POO9h   -101   63
OI1h    -101   81
OI2h     101  -81
POO10h   101  -63
PPO2h     57  -82
PPO6h     72  -55
TPP10h   101  -27
CPP6h     62  -35
CPP2h     35  -73
CCP4h     35  -19
TTP8h     79  -10
FCC6h     57   12
FCC2h     16   45
FFC4h     46   48
FFT8h     81   29
AFF6h     72   55
AFF2h     57   82
AFp2      79   82
FCz       23   90
Fpz       90   90
