name,coil_type,x,y,z,ex_x,ex_y,ex_z,ey_x,ey_y,ey_z,ez_x,ez_y,ez_z
MLC11-606,5001,-0.014323,0.048909,0.083084,0.728954,0.665674,-0.159696,-0.680884,0.680884,-0.269802,-0.070866,0.305408,0.949581
MLC12-606,5001,-0.040601,0.042758,0.079940,0.708622,0.705572,-0.004790,-0.644792,0.644792,-0.410470,-0.286528,0.293956,0.911862
MLC13-606,5001,-0.073375,0.034411,0.064147,0.561962,0.806275,0.184715,-0.516439,0.516439,-0.683068,-0.646135,0.288465,0.706610
MLC14-606,5001,-0.090027,0.012140,0.050707,0.289690,0.900312,0.324835,-0.425104,0.425104,-0.799107,-0.857535,0.093405,0.505875
MLC15-606,5001,-0.098328,-0.010274,0.030432,0.013822,0.964761,0.262763,-0.257367,0.257367,-0.931410,-0.966215,-0.054752,0.251855
MLC21-606,5001,-0.027556,0.020578,0.089149,0.713508,0.699800,-0.034442,-0.680665,0.680665,-0.270906,-0.166137,0.216737,0.961989
MLC22-606,5001,-0.055319,0.020081,0.080971,0.655910,0.744349,0.125403,-0.632790,0.632790,-0.446268,-0.411533,0.213358,0.886070
MLC23-606,5001,-0.073206,0.000517,0.073274,0.495265,0.807767,0.319725,-0.581697,0.581697,-0.568556,-0.645245,0.095603,0.757971
MLC24-606,5001,-0.087053,-0.018549,0.057109,0.227250,0.876284,0.424834,-0.480349,0.480349,-0.733846,-0.847126,-0.037302,0.530081
MLC31-606,5001,-0.044035,-0.004914,0.090291,0.676633,0.728163,0.109299,-0.670812,0.670812,-0.316264,-0.303611,0.140676,0.942354
MLC32-606,5001,-0.062550,-0.025444,0.082237,0.521289,0.756356,0.395201,-0.651803,0.651803,-0.387694,-0.550828,-0.055493,0.832772
MLC33-606,5001,-0.047154,-0.050511,0.086130,0.598858,0.639045,0.482691,-0.705885,0.705885,-0.058770,-0.378281,-0.305530,0.873816
MLC41-606,5001,-0.014313,-0.003184,0.095809,0.712567,0.699474,-0.054632,-0.697168,0.697168,-0.167077,-0.078778,0.157141,0.984429
MLC42-606,5001,-0.029421,-0.029321,0.094953,0.682652,0.709901,0.173283,-0.702775,0.702775,-0.110515,-0.200234,-0.046336,0.978652
MLC43-606,5001,-0.014429,-0.056301,0.092331,0.710556,0.626474,0.320375,-0.695237,0.695237,0.182462,-0.108429,-0.352386,0.929552
MLF11-606,5001,-0.031508,0.120067,-0.017582,0.011661,-0.037725,0.999220,0.955395,0.295331,0.000000,-0.295101,0.954650,0.039486
MLF12-606,5001,-0.058710,0.106298,-0.023361,0.028819,-0.039229,0.998815,0.805900,0.592051,0.000000,-0.591349,0.804945,0.048677
MLF21-606,5001,-0.015126,0.121044,0.010698,0.028849,-0.170200,0.984987,0.985937,0.167115,-0.000000,-0.164606,0.971136,0.172627
MLF22-606,5001,-0.046050,0.110818,0.008105,0.075339,-0.143170,0.986826,0.884954,0.465679,0.000000,-0.459545,0.873296,0.161782
MLF23-606,5001,-0.071448,0.092577,-0.000471,0.653149,0.757212,0.005099,-0.048882,0.048882,-0.997608,-0.755650,0.651337,0.068942
MLF31-606,5001,-0.032269,0.107560,0.035421,0.882115,0.433682,-0.183831,-0.354650,0.354650,-0.865128,-0.309995,0.828338,0.466647
MLF32-606,5001,-0.061468,0.093424,0.030154,0.751575,0.659104,-0.026780,-0.267996,0.267996,-0.925395,-0.602755,0.702680,0.378057
MLF33-606,5001,-0.081174,0.072412,0.018828,0.446328,0.892010,0.071482,-0.156415,0.156415,-0.975227,-0.881093,0.424091,0.209336
MLF34-606,5001,-0.092545,0.048544,0.009927,0.363299,0.931232,0.028655,-0.050327,0.050327,-0.997464,-0.930312,0.360936,0.065150
MLF41-606,5001,-0.014336,0.095188,0.057546,0.822617,0.461102,-0.332695,-0.560705,0.560705,-0.609278,-0.094395,0.687747,0.719788
MLF42-606,5001,-0.046064,0.085854,0.054833,0.780887,0.615876,-0.104459,-0.471648,0.471648,-0.745048,-0.409589,0.631067,0.658780
MLF43-606,5001,-0.073502,0.066873,0.045243,0.547547,0.828097,0.120196,-0.366419,0.366419,-0.855262,-0.752283,0.424254,0.504063
MLF44-606,5001,-0.088155,0.042438,0.038958,0.432012,0.888804,0.152949,-0.302621,0.302621,-0.903793,-0.849580,0.344164,0.399706
MLF45-606,5001,-0.099700,0.019934,0.021664,0.142753,0.974410,0.173628,-0.200228,0.200228,-0.959071,-0.969294,0.102145,0.223688
MLF51-606,5001,-0.029080,0.070584,0.072174,0.757825,0.629770,-0.170562,-0.624551,0.624551,-0.468904,-0.188777,0.461872,0.866624
MLF52-606,5001,-0.057213,0.059096,0.065923,0.665936,0.742456,0.072720,-0.567299,0.567299,-0.596945,-0.484460,0.356273,0.798980
MLO11-606,5001,-0.014579,-0.120515,0.009576,0.958382,-0.066309,0.277682,-0.253044,0.253044,0.933776,-0.132184,-0.965180,0.225734
MLO12-606,5001,-0.049711,-0.108916,0.011668,0.809457,-0.256524,0.528181,-0.405781,0.405781,0.818952,-0.424407,-0.877232,0.224370
MLO21-606,5001,-0.033745,-0.119879,-0.015197,0.947630,-0.301709,0.104731,-0.083246,0.083246,0.993046,-0.308330,-0.949759,0.053770
MLO22-606,5001,-0.063545,-0.103479,-0.014767,0.770540,-0.569550,0.286147,-0.204412,0.204412,0.957304,-0.603725,-0.796134,0.041085
MLO31-606,5001,-0.014547,-0.125460,-0.043946,0.992248,-0.116563,0.043104,-0.038815,0.038815,0.998492,-0.118060,-0.992425,0.033990
MLO32-606,5001,-0.047892,-0.115062,-0.041666,0.892422,-0.444131,0.079567,-0.059321,0.059321,0.996475,-0.447286,-0.893996,0.026593
MLO33-606,5001,-0.075684,-0.095584,-0.041835,-0.229186,0.248412,0.941151,-0.665556,0.665556,-0.337744,-0.710288,-0.703795,0.012796
MLO41-606,5001,-0.032572,-0.122181,-0.069424,0.960593,-0.275112,0.039690,-0.032086,0.032086,0.998970,-0.276102,-0.960877,0.021995
MLO42-606,5001,-0.062229,-0.107652,-0.070052,0.801034,-0.573468,0.171694,-0.123009,0.123009,0.984752,-0.585844,-0.809940,0.027993
MLO43-606,5001,-0.084444,-0.083231,-0.070377,-0.563043,0.811016,0.158855,-0.114095,0.114095,-0.986896,-0.818514,-0.573790,0.028293
MLP11-606,5001,-0.030594,-0.075186,0.078347,0.717860,0.437855,0.541257,-0.664071,0.664071,0.343540,-0.209012,-0.606047,0.767477
MLP12-606,5001,-0.061450,-0.070554,0.067487,0.459771,0.471086,0.752787,-0.707067,0.707067,-0.010628,-0.537278,-0.527384,0.658178
MLP13-606,5001,-0.077217,-0.045504,0.065098,0.280552,0.745469,0.604621,-0.621218,0.621218,-0.477679,-0.731696,-0.241587,0.637382
MLP21-606,5001,-0.014445,-0.097723,0.058354,0.835874,0.241523,0.492931,-0.538083,0.538083,0.648794,-0.108539,-0.807548,0.579729
