Name	ch_type	x	y	z	ex	ey	ez
MLC11	grad	0.086	0.0103	0.1355	0.346	0.0418	0.9373
MLC12	grad	0.0742	0.0286	0.1379	0.2638	0.1842	0.9468
MLC13	grad	0.0659	0.0488	0.1335	0.2456	0.3738	0.8944
MLC14	grad	0.0535	0.0678	0.1269	0.2278	0.5748	0.786
MLC15	grad	0.0403	0.0822	0.1182	0.1537	0.6329	0.7588
MLC16	grad	0.0243	0.0921	0.1072	0.1428	0.8536	0.5009
MLC17	grad	0.0065	0.0961	0.0911	-0.1102	0.9547	0.2762
MLC21	grad	0.053	0.0316	0.1426	0.2195	0.2189	0.9507
MLC22	grad	0.0446	0.0513	0.1382	0.1941	0.3723	0.9076
MLC23	grad	0.032	0.0677	0.1316	0.1201	0.5713	0.8119
MLC24	grad	0.0165	0.0793	0.1247	0.1907	0.6616	0.7252
MLC25	grad	-0.0012	0.0872	0.1106	-0.13	0.8567	0.4991
MLC31	grad	0.0125	0.0602	0.1373	0.0308	0.5018	0.8644
MLC32	grad	-0.0066	0.0744	0.1272	-0.2581	0.7297	0.6332
MLC41	grad	0.0253	0.0433	0.1441	0.1194	0.2849	0.9511
MLC42	grad	-0.0088	0.0557	0.1389	-0.1183	0.4743	0.8724
MLC51	grad	0.0496	0.0102	0.1458	0.2095	0.0486	0.9766
MLC52	grad	0.0314	0.0222	0.1479	0.1552	0.1356	0.9785
MLC53	grad	0.004	0.0396	0.1467	0.0081	0.2774	0.9607
MLC54	grad	-0.0194	0.0375	0.1451	-0.2143	0.2791	0.936
MLC55	grad	-0.0382	0.0271	0.141	-0.4309	0.1883	0.8825
MLC61	grad	0.013	0.0105	0.1514	0.0946	0.0683	0.9932
MLC62	grad	-0.0065	0.0207	0.1505	-0.0577	0.1492	0.9871
MLC63	grad	-0.0266	0.01	0.1483	-0.2837	0.0854	0.9551
MLF11	grad	0.1488	0.0232	0.0484	0.9666	0.2371	0.0971
MLF12	grad	0.1404	0.0443	0.045	0.8868	0.4525	0.0937
