Site	Theta	 Phi
1	      23  	  90
2 	      23 	  30
3 	      23 	 -30
4 	      23 	 -90
5 	     -23	  30
6 	     -23	 -30
7 	      46	  74
8 	      46	  41
9 	      46	   8
10 	      46	 -25
11 	      46	 -57
12 	      46	 -90
13 	     -46	  57
14 	     -46	  25
15 	     -46	 -8
16 	     -46	 -41
17 	     -46	 -74
18 	      69	  76
19 	      69	  49
20 	      69	  21
21 	      69	 -7
22 	      69	 -35
23 	      69	 -62
24 	      69	 -90
25 	     -69	  62
26 	     -69	  35
27 	     -69	   7
28 	     -69	 -21
29 	     -69	 -49
30 	     -69	 -76
31 	      92	  90
32 	      92	  62
33 	      92	  34
34 	      92 	   6
35 	      92 	 -21
36 	      92 	 -49
37 	      92 	 -76
38 	     -92 	  76
39 	     -92 	  49
40 	     -92 	  21
41 	     -92 	 -6
42 	     -92 	 -34
43 	     -92 	 -62
44 	     115 	  35
45 	     115 	  10
46 	     115 	 -15
47 	     115 	 -40
48 	     115 	 -65
49 	     115 	 -90
50 	    -115	  65
51 	    -115 	  40
52 	    -115 	  15
53 	    -115 	 -10
54 	    -115 	 -35
55 	     138 	  23
56 	     138 	 -15
57 	     138 	 -40
58 	     138 	 -65
59 	     138 	 -90
60 	    -138 	  65
61 	    -138 	  40
62 	    -138 	  15
63 	    -138 	 -23
Ref	      0 	   0
