Name	x	y	z	ex	ey	ez
MEG0113	-0.1064	0.0529	-0.0203	-0.9829	0.1844	-0.0019
MEG0112	-0.1064	0.0529	-0.0203	-0.9829	0.1844	-0.0019
MEG0111	-0.1064	0.0529	-0.0203	-0.9829	0.1844	-0.0019
MEG0122	-0.1019	0.0726	0.0129	-0.9658	0.2572	-0.0325
MEG0123	-0.1019	0.0726	0.0129	-0.9658	0.2572	-0.0325
MEG0121	-0.1019	0.0726	0.0129	-0.9658	0.2572	-0.0325
MEG0132	-0.1083	0.0397	0.0148	-0.9965	0.0816	-0.0188
MEG0133	-0.1083	0.0397	0.0148	-0.9965	0.0816	-0.0188
MEG0131	-0.1083	0.0397	0.0148	-0.9965	0.0816	-0.0188
MEG0143	-0.1096	0.0195	-0.0196	-0.9995	0.0264	0.0197
MEG0142	-0.1096	0.0195	-0.0196	-0.9995	0.0264	0.0197
MEG0141	-0.1096	0.0195	-0.0196	-0.9995	0.0264	0.0197
MEG0213	-0.1073	0.0455	0.0491	-0.9936	0.1035	0.0446
MEG0212	-0.1073	0.0455	0.0491	-0.9936	0.1035	0.0446
MEG0211	-0.1073	0.0455	0.0491	-0.9936	0.1035	0.0446
MEG0222	-0.0988	0.0558	0.0817	-0.9266	0.1772	0.3316
MEG0223	-0.0988	0.0558	0.0817	-0.9266	0.1772	0.3316
MEG0221	-0.0988	0.0558	0.0817	-0.9266	0.1772	0.3316
MEG0232	-0.101	0.02	0.0844	-0.9359	-0.0193	0.3518
MEG0233	-0.101	0.02	0.0844	-0.9359	-0.0193	0.3518
MEG0231	-0.101	0.02	0.0844	-0.9359	-0.0193	0.3518
MEG0243	-0.1081	0.0115	0.0512	-0.9941	-0.0788	0.075
MEG0242	-0.1081	0.0115	0.0512	-0.9941	-0.0788	0.075
MEG0241	-0.1081	0.0115	0.0512	-0.9941	-0.0788	0.075
MEG0313	-0.0861	0.1114	0.0443	-0.8737	0.4845	0.0422
MEG0312	-0.0861	0.1114	0.0443	-0.8737	0.4845	0.0422
MEG0311	-0.0861	0.1114	0.0443	-0.8737	0.4845	0.0422
MEG0322	-0.0887	0.0912	0.0785	-0.8628	0.3815	0.3317
MEG0323	-0.0887	0.0912	0.0785	-0.8628	0.3815	0.3317
MEG0321	-0.0887	0.0912	0.0785	-0.8628	0.3815	0.3317
MEG0333	-0.0702	0.0939	0.1079	-0.7075	0.372	0.6009
MEG0332	-0.0702	0.0939	0.1079	-0.7075	0.372	0.6009
MEG0331	-0.0702	0.0939	0.1079	-0.7075	0.372	0.6009
MEG0343	-0.1002	0.0784	0.0463	-0.9551	0.2926	0.0459
MEG0342	-0.1002	0.0784	0.0463	-0.9551	0.2926	0.0459
