label	x	y	z
C3	-0.5878	0.0000	0.8090
C4	0.5878	0.0000	0.8090
Cz	0.0000	0.0000	1.0000
F3	-0.4591	0.5800	0.6730
F4	0.4591	0.5800	0.6730
F7	-0.7695	0.5590	0.3090
F8	0.7695	0.5590	0.3090
Fp1	-0.2939	0.9045	0.3090
Fp2	0.2939	0.9045	0.3090
Fpz	0.0000	0.9511	0.3090
Fz	0.0000	0.5878	0.8090
LPA	-1.0000	0.0000	0.0000
NAS	0.0000	1.0000	0.0000
O1	-0.2939	-0.9045	0.3090
O2	0.2939	-0.9045	0.3090
Oz	0.0000	-0.9511	0.3090
P3	-0.4591	-0.5800	0.6730
P4	0.4591	-0.5800	0.6730
P7	-0.7695	-0.5590	0.3090
P8	0.7695	-0.5590	0.3090
Pz	0.0000	-0.5878	0.8090
RPA	1.0000	0.0000	0.0000
T7	-0.9511	0.0000	0.3090
T8	0.9511	0.0000	0.3090
