name,"CAD X+ (INCH)","CAD Y+ (INCH)","CAD Z+ (INCH)","CAD X- (INCH)","CAD Y- (INCH)","CAD Z- (INCH)"
"Derived from '90-0395 Channel Map for 6th cooldown  2-01-13.xls'",,,,,,
MEG_059,-1.97677,1.56552,2.9148899999999998,-4.18768,2.50074,5.4066399999999994
MEG_045,-1.61144,0.93037,3.41137,-3.33479,1.92534,6.24186
MEG_029,-0.91075,1.72387,3.473,-1.93587,2.72988,6.6208100000000005
MEG_073,-2.38955,0.86972,2.76491,-4.94504,1.79985,4.90406
MEG_043,-1.59926,2.33243,2.9312199999999997,-3.46787,3.39595,5.64209
MEG_085,-2.78631,1.40783,1.8483900000000002,-5.89386,2.21359,3.13893
REF_013,,,,,,
MEG_071,-2.43321,2.17533,2.12153,-5.27622,3.05529,3.88634
MEG_032,0.93037,-1.61144,3.41137,1.92534,-3.33479,6.24186
MEG_048,1.27145,-2.20222,2.76491,2.6312,-4.55737,4.90406
MEG_018,0.44157,-2.50427,2.76491,0.91381,-5.18245,4.90406
MEG_006,0,-3.0105,1.9496699999999998,0,-6.23006,3.2169600000000003
MEG_005,0,-1.86073,3.41137,0,-3.85068,6.24186
MEG_049,-1.27145,-2.20222,2.76491,-2.6312,-4.55737,4.90406
MEG_019,-0.44157,-2.50427,2.76491,-0.91381,-5.18245,4.90406
MEG_033,-0.93037,-1.61144,3.41137,-1.92534,-3.33479,6.24186
MEG_021,-0.56074,-3.168,1.10519,-1.13708,-6.39559,2.21066
MEG_020,0.56022,-3.16809,1.10519,1.13604,-6.39578,2.21066
MEG_034,1.02965,-2.82894,1.9496699999999998,2.13081,-5.85434,3.2169600000000003
MEG_077,-2.47272,-2.0647,1.06346,-5.01426,-4.15829,2.1260399999999997
MEG_035,-1.02965,-2.82894,1.9496699999999998,-2.13081,-5.85434,3.2169600000000003
MEG_007,0,-3.27147,0.25763999999999987,0,-6.63351,1.0751
MEG_023,-0.576,-3.27431,-0.5961999999999996,-1.16503,-6.58484,0.21931000000000012
MEG_022,0.56022,-3.27709,-0.5960900000000002,1.14872,-6.58771,0.21941999999999995
MEG_047,-1.61144,-0.93037,3.41137,-3.33479,-1.92534,6.24186
MEG_061,-1.86073,0,3.41137,-3.85068,0,6.24186
MEG_087,-2.5429,0,2.76491,-5.2624,0,4.90406
MEG_113,-3.22769,0.0086,0.9850500000000002,-6.5452,0.046,1.9670299999999998
MEG_101,-2.96476,-0.52277,1.9496699999999998,-6.13541,-1.08184,3.2169600000000003
MEG_099,-2.96476,0.52277,1.9496699999999998,-6.13541,1.08184,3.2169600000000003
MEG_063,-1.94798,-1.63455,2.76491,-4.03123,-3.38261,4.90406
MEG_075,-2.38955,-0.86972,2.76491,-4.94504,-1.79985,4.90406
MEG_089,-2.60717,-1.50525,1.9496699999999998,-5.39539,-3.11503,3.2169600000000003
MEG_123,-3.24454,-0.65992,-1.5465400000000002,-6.63007,-1.24165,-1.13258
MEG_103,-3.03312,-1.09456,1.02677,-6.15066,-2.19102,2.05164
MEG_119,-3.27163,-0.04807,-0.7182199999999996,-6.66217,-0.02172,-0.02890999999999977
MEG_121,-3.24454,0.48346,-1.5897899999999998,-6.63007,1.0948,-1.2209500000000002
MEG_105,-3.07707,-1.16672,-0.67591,-6.26323,-2.29919,0.057230000000000114
MEG_091,-2.81455,-1.64764,0.19621999999999984,-5.75085,-3.31563,0.9496099999999998
MEG_115,-3.20059,-0.58777,0.15614000000000017,-6.53962,-1.15004,0.8677100000000002
MEG_037,-1.11155,-3.07561,0.2502300000000002,-2.27119,-6.23333,1.0599599999999998
MEG_067,-2.08904,-2.51166,0.22889999999999988,-4.26844,-5.08104,1.0163799999999998
MEG_079,-2.51137,-2.1514,-0.6386700000000003,-5.10885,-4.30296,0.13301000000000007
MEG_093,-2.8532,-1.73435,-1.50591,-5.7542,-3.37531,-0.5769099999999998
MEG_051,-1.61407,-2.7848,1.0907,-3.27306,-5.61852,2.18127
MEG_065,-1.93511,-2.30617,1.9496699999999998,-4.00461,-4.7725,3.2169600000000003
REF_014,,,,,,
MEG_053,-1.64275,-2.88336,-0.6109799999999996,-3.33826,-5.79135,0.1892999999999998
MEG_039,-1.37821,4.03301,0.3876599999999999,-2.98972,7.09471,0.3625
MEG_041,-1.59926,3.67934,1.6678899999999999,-3.46787,6.31662,2.90266
MEG_055,-2.06278,3.53364,0.8475,-4.47296,6.00069,1.12372
MEG_069,-2.43321,2.88136,1.4593099999999999,-5.27622,4.58626,2.45038
MEG_027,-1.02514,3.32279,2.63742,-2.22293,5.54346,5.00502
MEG_025,-0.92333,4.17235,1.20548,-2.00217,7.38566,1.89996
MEG_057,-1.84667,3.00588,2.29955,-4.00435,4.85628,4.27238
REF_015,,,,,,
MEG_083,-2.81067,2.32514,1.52142,-6.13327,3.15736,2.01067
MEG_095,-2.85632,2.16654,0.8215499999999998,-6.24599,2.85761,0.88605
MEG_117,-3.14455,0.87829,-0.5229400000000002,-6.53422,1.56936,-0.4584400000000004
MEG_109,-3.0226,1.3925,0.3767900000000002,-6.41227,2.08357,0.44128999999999996
MEG_107,-2.7791,2.44789,0.19401000000000002,-6.01824,3.66345,0.23866999999999994
MEG_111,-3.20059,0.54013,0.11348000000000003,-6.53962,1.15454,0.7805499999999999
MEG_097,-3.04326,1.22292,1.1076800000000002,-6.3884,1.94226,1.62169
MEG_081,-2.54021,2.92425,0.6868799999999999,-5.5195,4.68347,0.7109800000000002
REF_001,,,,,,
REF_002,,,,,,
REF_004,,,,,,
REF_012,4.64675,-0.89642,-0.43801999999999985,6.03162,-1.01804,-0.22614
REF_006,,,,,,
REF_008,4.50056,0.78066,1.76423,5.88573,0.92199,1.96135
REF_010,4.31926,2.18698,-0.3705499999999997,5.69806,2.46181,-0.3402200000000004
MEG_094,2.85632,2.16654,0.8215499999999998,6.24599,2.85761,0.88605
REF_016,,,,,,
REF_003,,,,,,
REF_017,,,,,,
REF_011,-4.64675,-0.89642,-0.43801999999999985,-6.03162,-1.01804,-0.22614
REF_009,-4.31926,2.18698,-0.3705499999999997,-5.69806,2.46181,-0.3402200000000004
REF_007,-4.50056,0.78066,1.76423,-5.88573,0.92199,1.96135
REF_018,,,,,,
REF_005,,,,,,
MEG_090,2.81455,-1.64764,0.19621999999999984,5.75085,-3.31563,0.9496099999999998
MEG_088,2.60717,-1.50525,1.9496699999999998,5.39539,-3.11503,3.2169600000000003
MEG_102,3.03294,-1.09506,1.02679,6.1503,-2.19202,2.05167
MEG_122,3.24454,-0.65992,-1.5465400000000002,6.63007,-1.24165,-1.13258
MEG_114,3.20059,-0.58777,0.15614000000000017,6.53962,-1.15004,0.8677100000000002
MEG_104,3.07159,-1.18176,-0.6753400000000003,6.25756,-2.31475,0.05781999999999998
MEG_120,3.24454,0.48346,-1.5897899999999998,6.63007,1.0948,-1.2209399999999997
MEG_118,3.27163,-0.06408,-0.7176099999999996,6.66217,-0.03828,-0.02827999999999964
MEG_106,2.7791,2.44789,0.19401000000000002,6.01824,3.66345,0.23866999999999994
MEG_082,2.81067,2.32514,1.52142,6.13327,3.15736,2.01067
MEG_110,3.20059,0.54013,0.11348000000000003,6.53962,1.15454,0.7805499999999999
MEG_116,3.14455,0.87829,-0.5229400000000002,6.53422,1.56936,-0.4584400000000004
MEG_096,3.04326,1.22292,1.1076800000000002,6.3884,1.94226,1.62169
