### Table of event codes. 
# This table is also part of the specification of 
# GDF v2.x http://arxiv.org/abs/cs.DB/0608052 and 
# GDF v1.x http://pub.ist.ac.at/~schloegl/matlab/eeg/gdf4/TR_GDF.pdf
# and part of the BioSig project http://biosig.sf.net/
# Copyright (C) 2004-2015 Alois Schloegl <alois.schloegl@ist.ac.at>
# 
# BioSig is free software; you can redistribute it and/or
# modify it under the terms of the GNU General Public
# License as published by the Free Software Foundation; either
# Version 3 of the License, or (at your option) any later version.
#
# Alternative license: 
# This table of event codes can be used in any application 
# (without the restrictions of GPL) under the condition that this table 
# is not modified, changed, converted or transformed. No 
# derivative of any kind are allowed. Suggestions for improvement 
# and changes should be addressed to the author.  
#
### table of event codes: lines starting with # are omitted
### add 0x8000 to indicate the end (i.e. offset) of an event
#
# Remark concering white space characters:
# The character after the hexadecimal code (0x####) must be 
# followed by a <TAB> (i.e. \x09), the remaining part 
# may not contain any <TAB>.  
#
### 0x010_	EEG artifacts
0x0101	artifact:EOG (blinks, fast, large amplitude)
0x0102	artifact:ECG
0x0103	artifact:EMG/Muscle
0x0104	artifact:Movement
0x0105	artifact:Failing Electrode
0x0106	artifact:Sweat
0x0107	artifact:50/60 Hz mains interference
0x0108	artifact:breathing
0x0109	artifact:pulse
0x010a	artifact:EOG (slow, small amplitudes)
#0x010f calibration 
### 0x011_	EEG patterns
0x0111	eeg:Sleep spindles
0x0112	eeg:K-complexes
0x0113	eeg:Saw-tooth waves
0x0114	eeg:Idling EEG - eyes open
0x0115	eeg:Idling EEG - eyes closed
0x0116	eeg:spike
0x0117	eeg:seizure
#0x0118	eeg:Electrographic seizure
#0x0119	eeg:Clinical seizure
#0x011a	eeg:Subclinical seizure
#0x011b	eeg:Stimulating for seizure
### 0x012_	Stimulus for Evoked potentials
0x0121	VEP: visual EP
0x0122	AEP: auditory EP
0x0123	SEP: somato-sensory EP
0x012F	TMS: transcranial magnetic stimulation 
### 0x013_	Stimulus for Steady State Evoked potentials
0x0131	SSVEP
0x0132	SSAEP
0x0133	SSSEP
### 0x014_	Response code
0x0140	response code 0, or no response or false
0x0141	response code 1, or correct response
0x0142	response code 2
0x0143	response code 3
0x0144	Go, or response code 4
0x0145	NoGo, or response code 5
### 0x02__	Neural activity, patch clamp
### 0x020_	Neural spikes, and spike trains
0x0201	Spike, action potential (fiducial point)
0x0202	Burst 
0x0203	maximum slope time
0x0204	peak time of spike
### 0x021_	miniature post-synaptic events
0x0211	EPSP - Excitatory Post-Synaptic Potentials
0x0212	IPSP - Inhibitory Post-Synaptic Potentials
0x0213	EPSC - Excitatory Post-Synaptic Currents
0x0214	IPSC - Inhibitory Post-Synaptic Currents
### 0x03__	BCI: Trigger, cues, classlabels
0x0300	Start of Trial, Trigger at t=0s
0x0301	class1, Left hand	- cue onset (BCI experiment)
0x0302	class2, Right hand	- cue onset (BCI experiment)
0x0303	class3, Foot, towards Right - cue onset (BCI experiment)
0x0304	class4, Tongue		- cue onset (BCI experiment)
0x0305	class5			- cue onset
0x0306	class6, towards Down	- cue onset (BCI experiment)
0x0307	class7			- cue onset
0x0308	class8			- cue onset
0x0309	class9, towards Left 	- cue onset
0x030A	class10            	- cue onset
0x030B	class11            	- cue onset
0x030C	class12, towards Up 	- cue onset (BCI experiment)
0x030D	Feedback (continuous) - onset (BCI experiment)
0x030E	Feedback (discrete) - onset (BCI experiment)
0x030F	cue unknown/undefined (used for BCI competition) 
0x0311	Beep (accustic stimulus, BCI experiment)
0x0312	Cross on screen (BCI experiment)
0x0313	Flashing light
#0x031b - 0x037f reserved for ASCII characters #27-#127
0x0381	target hit, task successful, correct classification
0x0382	target missed, task not reached, incorrect classification
0x03ff	Rejection of whole trial
### 0x040_	Respiratory Events
0x0401	Obstructive apnea/Hypopnea event (OAHE)
