Site	 Theta	Phi
1	   0	   0
2	  23	  90
3	  23	  30
4	  23	 -30
5	  23	 -90
6	 -23	  30
7	 -23	 -30
8	  46	  90
9	  46	  66
10	  46	  33
11	  46	   0
12	  46	 -33
13	  46	 -66
14	  46	 -90
15	 -46	  66
16	 -46	  33
17	 -46	   0
18	 -46	 -33
19	 -46	 -66
20	  69	  90
21	  69	  66
22	  69	  42
23	  69	  18
24	  69	  -6
25	  69	 -30
26	  69	 -54
27	  69	 -78
28	 -69	  78
29	 -69	  54
30	 -69	  30
31	 -69	   6
32	 -69	 -18
33	 -69	 -42
34	 -69	 -66
35	  92	  90
36	  92	  68
37	  92	  45
38	  92	  22
39	  92	   0
40	  92	 -22
41	  92	 -45
42	  92	 -68
43	  92	 -90
44	 -92	  68
45	 -92	  45
46	 -92	  22
47	 -92	   0
48	 -92	 -22
49	 -92	 -45
50	 -92	 -68
51	 115	  35
52	 115	  10
53	 115	 -15
54	 115	 -40
55	 115	 -65
56	 115	 -90
57	-115	  65
58	-115	  40
59	-115	  15
60	-115	 -10
61	-115	 -35
